time,PM10,T2,rh2,slp,PBLH,wind_speed_10m,wind_speed_925hPa,WIND_DIR,RAIN
1960-01-01,2000.149,288.24875,32.923786,1018.8942,484.91812,6.8015027,13.483623,NE,0
1960-01-02,4686.537,288.8845,30.528862,1017.26575,601.5831,8.31634,18.027075,NE,0
1960-01-03,5847.7515,290.97128,26.504536,1015.83514,582.3854,9.148216,17.995173,NE,0
1960-01-04,5252.0586,292.2006,30.678936,1013.9223,555.1186,8.751743,15.806478,NE,0
1960-01-05,3379.319,293.06076,27.790462,1011.94934,394.9544,6.393228,9.1608095,NE,0
1960-01-06,3614.9092,292.8567,25.514252,1011.0473,479.12384,6.1009035,13.524147,NE,0
1960-01-07,4487.007,292.3937,27.32072,1011.6522,561.2081,7.5971756,15.824308,NE,0
1960-01-08,3639.8806,292,24.59501,1013.2582,427.36383,6.1518044,11.239139,NE,0
1960-01-09,2661.9258,292.6197,21.63523,1012.7727,350.32156,4.2015824,7.369415,NE,0
1960-01-10,2651.043,293.18668,26.801338,1012.49774,305.62872,4.5274043,7.8822002,NE,0
1960-01-11,2344.916,294.24213,19.209122,1012.7899,287.34143,3.5054636,4.148541,NE,0
1960-01-12,1214.3727,295.0003,19.246975,1010.49567,244.30383,2.4372005,6.1609454,NW,0
1960-01-13,1558.3422,296.95886,16.383326,1009.73773,435.12228,4.227667,8.875626,NW,0
1960-01-14,1710.6089,296.49124,19.37965,1009.63135,412.15622,4.058034,8.957843,NW,0
1960-01-15,2218.976,297.48425,13.428168,1011.5951,324.89508,3.741227,8.959468,NW,0
1960-01-16,3160.523,297.14462,15.496277,1012.36145,428.51196,3.758228,9.8699875,NE,0
1960-01-17,3601.8647,298.71783,23.791454,1010.8288,489.93796,4.12474,12.64181,NE,0
1960-01-18,2600.389,299.9583,28.13022,1009.38184,432.51065,4.7539463,9.006012,NE,0
1960-01-19,7705.208,299.50275,22.253252,1011.4752,618.66626,10.090388,17.99886,NE,0
1960-01-20,8260.574,295.87726,20.272715,1015.0946,661.04706,11.816008,21.468258,NE,0
1960-01-21,7184.246,293.47504,16.481808,1016.7483,759.24384,11.636272,21.825777,NE,0
1960-01-22,6161.992,291.1667,27.197184,1017.9793,726.77136,10.510868,19.584318,NE,0
1960-01-23,5653.19,292.06976,26.186035,1016.6949,636.02075,9.400727,18.569902,NE,0
1960-01-24,5676.851,293.16397,29.627277,1015.8708,666.221,9.666764,19.101864,NE,0
1960-01-25,5263.874,293.59058,30.496511,1015.3304,647.4644,9.200268,18.426126,NE,0
1960-01-26,5933.164,294.17474,24.770988,1016.3292,801.08344,10.509997,20.703272,NE,0
1960-01-27,6116.1724,294.17932,19.334381,1017.2562,764.6023,11.036962,21.061665,NE,0
1960-01-28,6763.5146,293.96732,19.596252,1017.3817,823.34204,11.477539,22.392437,NE,0
1960-01-29,6424.6543,293.8886,19.031307,1018.3768,841.3343,10.813636,22.200222,NE,0
1960-01-30,6291.7217,293.8332,20.358028,1016.3803,777.6468,10.439731,20.96999,NE,0
1960-01-31,4881.8467,293.96198,16.618464,1013.3204,547.9109,8.0978155,15.524949,NE,0
1960-02-01,2549.993,294.23352,18.174753,1010.4868,364.18994,4.7678742,8.039798,NE,0
1960-02-02,5194.442,294.18732,16.272552,1011.558,541.6759,7.2765074,15.216703,NE,0
1960-02-03,6372.2,292.50446,23.134027,1013.0824,683.81036,9.863123,20.021004,NE,0
1960-02-04,5326.3975,291.92288,24.559586,1014.97986,730.4976,9.811736,19.88134,NE,0
1960-02-05,7992.6606,293.36694,23.648945,1015.72034,889.77905,12.470192,23.817722,NE,0
1960-02-06,6353.49,293.96152,17.051079,1014.9348,660.9328,10.497169,19.170818,NE,0
1960-02-07,4858.8066,295.2404,15.216041,1012.1492,512.12054,7.957452,13.749771,NE,0
1960-02-08,3767.9958,296.4238,15.9749565,1011.4162,484.36615,6.432523,11.731771,NE,0
1960-02-09,4738.007,297.8082,15.765965,1010.49176,595.85077,7.839703,16.814066,NE,0
1960-02-10,6972.9517,298.7127,14.7667885,1010.01715,686.83734,10.822028,21.437304,NE,0
1960-02-11,5411.3936,297.67966,15.478591,1009.76404,593.8994,9.029705,17.522322,NE,0
1960-02-12,4227.6743,296.74304,17.473637,1010.4472,490.9793,7.665759,14.001173,NE,0
1960-02-13,4256.859,296.8407,15.360841,1010.9068,534.0677,7.6711607,15.048392,NE,0
1960-02-14,4638.934,297.43246,13.359112,1011.1362,586.5876,7.8653398,17.18517,NE,0
1960-02-15,4407.798,297.72733,12.142868,1011.5641,578.86444,8.306538,17.160158,NE,0
1960-02-16,3812.6235,297.27893,10.82873,1011.25464,533.82153,7.136056,15.829577,NE,0
1960-02-17,4781.4272,297.65445,8.933441,1011.03406,620.34625,8.474938,19.356503,NE,0
1960-02-18,5251.6675,297.8902,8.791176,1013.2652,608.4509,9.662811,19.085663,NE,0
1960-02-19,4107.4717,297.0735,12.318153,1014.0565,512.64465,7.787838,15.291171,NE,0
1960-02-20,3565.7607,297.7435,13.750814,1013.5535,502.9134,7.2166767,14.78998,NE,0
1960-02-21,4529.6685,298.53918,12.284496,1012.15076,664.39935,7.510791,17.67542,NE,0
1960-02-22,5338.4873,298.53485,13.835299,1010.5908,677.9786,8.8744335,19.26997,NE,0
1960-02-23,4716.9404,298.67584,16.155706,1010.4657,558.9542,7.5056314,15.649164,NE,0
1960-02-24,6118.318,300.0055,10.869137,1010.4296,668.0682,9.921924,19.924202,NE,0
1960-02-25,6505.2793,299.3876,9.919437,1012.0363,793.214,11.111929,21.959116,NE,0
1960-02-26,4947.752,297.33942,13.850179,1013.5027,726.2833,8.952957,18.901705,NE,0
1960-02-27,4070.1025,296.4975,12.699796,1012.27185,629.4987,8.0087185,16.58804,NE,0
1960-02-28,3668.2612,296.43243,11.007934,1010.939,568.6737,7.1385646,15.487448,NE,0
1960-02-29,3955.811,296.2447,15.098061,1009.8688,532.87976,6.7834454,14.068669,NE,0
1960-03-01,5236.0815,295.6492,24.287888,1011.7885,693.672,9.570994,15.690764,NE,0
1960-03-02,5115.5356,294.738,23.990711,1014.72327,819.80347,9.784693,20.212458,NE,0
1960-03-03,3998.2505,295.48184,19.265038,1013.4744,638.77496,8.089665,16.299501,NE,0
1960-03-04,4378.839,297.17377,15.181064,1011.8882,628.39636,8.187952,16.256449,NE,0
1960-03-05,4509.391,298.5297,13.87426,1009.7268,566.9175,7.763491,14.749717,NE,0
1960-03-06,3107.052,298.8368,14.4892645,1007.821,490.28967,5.5530257,9.748081,NE,0
1960-03-07,2353.651,299.18115,15.331992,1006.0974,438.0778,5.034129,8.452955,NE,0
1960-03-08,1521.1117,299.8452,15.047613,1005.74927,551.9465,4.1192102,8.948198,NW,0
1960-03-09,2087.8003,300.1491,5.8775563,1005.3406,753.3467,5.7413616,12.291656,NW,0
1960-03-10,4816.8594,298.24344,12.566469,1007.49133,704.75494,5.557425,16.726892,NE,0
1960-03-11,6320.8154,299.73187,10.013158,1007.9644,691.811,10.08134,20.58209,NE,0
1960-03-12,5276.7754,300.36057,24.769335,1007.20197,472.6308,9.77265,16.556074,NE,1
1960-03-13,2268.8066,302.36578,38.799656,1006.53625,627.54395,4.164408,8.75041,NE,1
1960-03-14,3054.0718,301.00232,53.0336,1008.802,526.34,8.023304,12.485692,NE,1
1960-03-15,2274.3499,301.2624,33.211956,1009.87006,522.81274,6.2002625,7.805855,NE,1
1960-03-16,2274.375,301.6475,16.031189,1008.6985,498.7687,4.7230263,10.154595,NE,1
1960-03-17,3393.1104,301.4738,15.17956,1008.4227,560.00275,6.2638936,12.406065,NE,1
1960-03-18,2878.893,301.14935,11.360241,1007.4553,434.4804,5.6473784,10.585548,NE,1
1960-03-19,1685.9541,300.97134,13.0887985,1005.5406,346.83704,3.9844763,4.8067074,NE,1
1960-03-20,871.5447,302.4472,13.342961,1006.38995,311.69873,2.4532166,3.8399172,NE,1
1960-03-21,1760.791,301.54074,11.281966,1008.39966,467.04944,4.2835093,6.8156905,NE,1
1960-03-22,3407.3503,299.55826,15.137501,1009.27655,507.21387,6.3876147,11.9808445,NE,1
1960-03-23,5766.223,301.2115,12.378819,1009.7293,698.21326,9.946902,18.950996,NE,1
1960-03-24,6411.4365,301.57944,11.027823,1010.7599,673.16974,10.716413,20.357079,NE,1
1960-03-25,3673.1987,302.51782,12.982358,1008.8849,464.07962,7.145331,11.843961,NE,1
1960-03-26,2409.67,304.8758,12.620504,1008.00616,473.5421,5.5911455,10.005487,NE,1
1960-03-27,1673.4607,304.53912,14.073137,1006.3706,328.53366,5.001465,6.2798305,NE,1
1960-03-28,842.2588,305.13736,12.80199,1005.5149,620.556,3.4735632,4.2832546,NE,1
1960-03-29,1437.5348,306.25156,9.554452,1004.8653,379.2938,3.3882623,9.457136,NE,1
1960-03-30,1279.2792,306.38635,8.306322,1004.91797,334.07663,3.6467402,6.79361,NE,1
1960-03-31,3039.8315,300.7912,10.716721,1003.67883,255.15833,4.003767,9.6191,NE,1
1960-04-01,537.36395,308.32202,38.994118,1002.42303,857.0525,2.7040608,5.2768226,SE,1
1960-04-02,2336.5234,307.43997,46.008163,1003.7091,690.1888,5.5302644,9.793276,SW,1
1960-04-03,3386.8184,305.69995,33.863174,1005.1571,651.6754,4.645804,6.045042,NE,1
1960-04-04,7822.8594,302.51825,15.408136,1006.79846,794.5343,10.693402,20.34729,NE,1
1960-04-05,6017.539,302.1215,14.420278,1006.583,674.78143,9.87143,19.0582,NE,1
1960-04-06,4274.0493,302.94168,11.236489,1006.7013,494.2051,7.578521,14.518165,NE,1
1960-04-07,3330.405,304.9596,8.869186,1006.70026,601.91644,6.3754787,12.367013,NE,1
1960-04-08,5171.957,305.87543,9.162856,1009.10345,844.50183,9.259743,18.113157,NE,1
1960-04-09,4571.4746,303.94516,14.779472,1010.13965,879.98346,8.865466,18.008247,NE,1
1960-04-10,4601.1494,302.28546,10.819528,1009.2295,664.6774,9.099819,16.878798,NE,1
1960-04-11,3638.9714,301.44064,8.531073,1008.99945,530.93494,7.425952,14.5666685,NE,1
1960-04-12,2325.0408,301.97473,9.140343,1006.27264,397.44473,4.61974,8.508171,NE,1
1960-04-13,1033.9365,304.4939,10.3729315,1004.58765,465.2206,1.4242887,0.724824,NE,1
1960-04-14,1575.4368,306.8859,34.077484,1004.56573,1034.9133,4.0175395,9.339269,SW,1
1960-04-15,2132.0178,306.26132,30.787325,1004.8359,887.1041,3.7334175,6.64834,SW,1
1960-04-16,1747.2137,302.80014,8.218813,1005.9707,546.8802,4.924923,9.005306,NW,1
1960-04-17,1475.5393,303.3226,9.710557,1007.6018,607.8724,4.660645,7.7699747,NW,1
1960-04-18,1924.8452,305.56494,13.531233,1006.2738,721.233,4.348842,7.523217,NW,1
1960-04-19,2078.561,307.35846,15.962286,1005.52594,556.8884,3.722456,8.150423,NE,1
1960-04-20,1904.5,307.30032,17.541994,1005.6475,670.1364,4.4764237,6.0609303,NE,1
1960-04-21,831.38074,307.0013,18.015905,1005.78937,652.6085,2.0534658,2.251213,NE,1
1960-04-22,873.6947,308.3755,11.583097,1004.4511,630.50635,2.3934577,2.5085955,NE,1
1960-04-23,747.5048,308.64023,11.046203,1002.8594,553.52356,0.9675893,1.7328594,NW,1
1960-04-24,1345.235,308.4019,8.4980755,1002.85657,677.7527,1.1234154,4.297211,NW,1
1960-04-25,753.5829,308.182,6.5777864,1003.2977,536.7084,1.9640195,3.823319,SW,1
1960-04-26,1139.8457,308.47015,6.3580337,1002.4846,413.28308,1.461995,4.465881,NE,1
1960-04-27,1182.5105,308.55627,12.892456,1003.12585,374.93213,1.3072383,3.1148212,NE,1
1960-04-28,3363.4512,306.73694,43.8483,1006.1096,1125.1096,7.3591466,12.275608,NE,1
1960-04-29,2342.4338,306.33966,25.266235,1008.1336,723.70984,6.211885,8.233779,NE,1
1960-04-30,1214.6543,307.06662,21.579441,1006.32043,807.18585,3.8401465,8.127186,NE,1
1960-05-01,1437.3444,307.3037,14.731354,1006.4885,868.633,3.7508886,5.404863,NE,1
1960-05-02,1326.9263,307.55182,8.352885,1004.8156,436.3791,3.9633129,5.163487,NE,1
1960-05-03,2506.5269,308.39285,8.313605,1004.4958,484.19693,5.1972218,9.088993,NE,1
1960-05-04,1949.6448,308.33438,9.639293,1002.483,487.52606,5.0684237,9.846421,NE,1
1960-05-05,2444.275,308.39685,22.190199,1001.81494,505.72256,2.3106894,6.2174516,SE,1
1960-05-06,2141.7795,308.70688,35.467705,1001.699,673.01495,5.349134,7.02967,SW,1
1960-05-07,1806.8746,307.16925,47.23789,1002.6632,1048.0562,3.8466516,5.271488,SW,1
1960-05-08,1813.0431,308.29944,41.1126,1004.5911,1236.5396,3.1828759,7.065603,SW,1
1960-05-09,1206.6788,309.61798,31.6129,1003.10925,658.6354,1.7424145,1.256478,SE,1
1960-05-10,2766.6145,307.0017,40.623585,1005.14,599.79724,7.396354,10.2590685,NE,1
1960-05-11,4769.0537,306.05826,35.916504,1006.9681,750.9716,8.942791,15.288704,NE,1
1960-05-12,4499.472,305.9184,20.503971,1007.0265,737.83057,10.040025,18.05727,NE,1
