time,PM10,T2,rh2,slp,PBLH,RAINC,wind_speed_10m,wind_speed_925hPa,U10,V10
1960-01-01,2000.149,288.24875,32.923786,1018.8942,484.91812,0.0,6.8015027,13.483623,-4.6713448,-4.943579
1960-01-02,4686.537,288.8845,30.528862,1017.26575,601.5831,0.0,8.31634,18.027075,-6.33407,-5.3889766
1960-01-03,5847.7515,290.97128,26.504536,1015.83514,582.3854,0.0,9.148216,17.995173,-6.701636,-6.2271934
1960-01-04,5252.0586,292.2006,30.678936,1013.9223,555.1186,0.0,8.751743,15.806478,-6.387379,-5.9828415
1960-01-05,3379.319,293.06076,27.790462,1011.94934,394.9544,0.0,6.393228,9.1608095,-4.2389913,-4.7858453
1960-01-06,3614.9092,292.8567,25.514252,1011.0473,479.12384,0.0,6.1009035,13.524147,-4.1285887,-4.4917455
1960-01-07,4487.007,292.3937,27.32072,1011.6522,561.2081,0.0,7.5971756,15.824308,-5.5213275,-5.2184305
1960-01-08,3639.8806,292.0,24.59501,1013.2582,427.36383,0.0,6.1518044,11.239139,-4.3574743,-4.342478
1960-01-09,2661.9258,292.6197,21.63523,1012.7727,350.32156,0.0,4.2015824,7.369415,-2.534112,-3.3513536
1960-01-10,2651.043,293.18668,26.801338,1012.49774,305.62872,0.0,4.5274043,7.8822002,-2.5947196,-3.7100968
1960-01-11,2344.916,294.24213,19.209122,1012.7899,287.34143,0.0,3.5054636,4.148541,-2.0538225,-2.84079
1960-01-12,1214.3727,295.0003,19.246975,1010.49567,244.30383,0.0,2.4372005,6.1609454,0.7647759,-2.3141012
1960-01-13,1558.3422,296.95886,16.383326,1009.73773,435.12228,0.0,4.227667,8.875626,2.3807952,-3.493563
1960-01-14,1710.6089,296.49124,19.37965,1009.63135,412.15622,0.0,4.058034,8.957843,2.7330647,-2.999666
1960-01-15,2218.976,297.48425,13.428168,1011.5951,324.89508,0.0,3.741227,8.959468,2.7032657,-2.586336
1960-01-16,3160.523,297.14462,15.496277,1012.36145,428.51196,0.0,3.758228,9.8699875,-1.5935543,-3.4036543
1960-01-17,3601.8647,298.71783,23.791454,1010.8288,489.93796,0.0,4.12474,12.64181,-2.7908444,-3.0372138
1960-01-18,2600.389,299.9583,28.13022,1009.38184,432.51065,0.0,4.7539463,9.006012,-3.1282182,-3.5797005
1960-01-19,7705.208,299.50275,22.253252,1011.4752,618.66626,0.0,10.090388,17.99886,-7.052141,-7.216872
1960-01-20,8260.574,295.87726,20.272715,1015.0946,661.04706,0.0,11.816008,21.468258,-9.175253,-7.4453187
1960-01-21,7184.246,293.47504,16.481808,1016.7483,759.24384,0.0,11.636272,21.825777,-8.923715,-7.4679413
1960-01-22,6161.992,291.1667,27.197184,1017.9793,726.77136,0.0,10.510868,19.584318,-7.766443,-7.082423
1960-01-23,5653.19,292.06976,26.186035,1016.6949,636.02075,0.0,9.400727,18.569902,-6.7159615,-6.577958
1960-01-24,5676.851,293.16397,29.627277,1015.8708,666.221,0.0,9.666764,19.101864,-7.0011353,-6.665616
1960-01-25,5263.874,293.59058,30.496511,1015.3304,647.4644,0.0,9.200268,18.426126,-6.5582385,-6.4524755
1960-01-26,5933.164,294.17474,24.770988,1016.3292,801.08344,0.0,10.509997,20.703272,-7.729048,-7.121929
1960-01-27,6116.1724,294.17932,19.334381,1017.2562,764.6023,0.0,11.036962,21.061665,-8.140457,-7.4530187
1960-01-28,6763.5146,293.96732,19.596252,1017.3817,823.34204,0.0,11.477539,22.392437,-8.473651,-7.7415204
1960-01-29,6424.6543,293.8886,19.031307,1018.3768,841.3343,0.0,10.813636,22.200222,-8.376748,-6.8384795
1960-01-30,6291.7217,293.8332,20.358028,1016.3803,777.6468,0.0,10.439731,20.96999,-7.943017,-6.7746925
